year,new_fraction,chaperoned_fraction,established_fraction
1990,0.351,0.156,0.492
1991,0.344,0.148,0.508
1992,0.360,0.163,0.477
1993,0.356,0.143,0.501
1994,0.311,0.132,0.558
1995,0.323,0.142,0.535
1996,0.317,0.142,0.542
1997,0.326,0.137,0.537
1998,0.302,0.154,0.545
1999,0.327,0.127,0.546
2000,0.311,0.154,0.535
2001,0.293,0.166,0.541
2002,0.268,0.139,0.593
2003,0.283,0.149,0.568
2004,0.269,0.179,0.552
2005,0.232,0.185,0.583
2006,0.240,0.159,0.601
2007,0.210,0.161,0.629
2008,0.223,0.153,0.624
2009,0.191,0.170,0.639
2010,0.216,0.149,0.634
2011,0.185,0.153,0.662
2012,0.166,0.170,0.664
