year,new_fraction,chaperoned_fraction,established_fraction
1990,0.429,0.153,0.418
1991,0.444,0.139,0.416
1992,0.441,0.152,0.407
1993,0.429,0.138,0.433
1994,0.443,0.154,0.403
1995,0.436,0.156,0.408
1996,0.424,0.153,0.423
1997,0.406,0.160,0.434
1998,0.411,0.168,0.421
1999,0.451,0.154,0.395
2000,0.404,0.194,0.403
2001,0.434,0.159,0.407
2002,0.418,0.162,0.419
2003,0.410,0.178,0.412
2004,0.398,0.175,0.428
2005,0.421,0.192,0.387
2006,0.386,0.196,0.418
2007,0.395,0.205,0.400
2008,0.352,0.219,0.429
2009,0.375,0.198,0.427
2010,0.346,0.230,0.425
2011,0.364,0.207,0.429
2012,0.388,0.232,0.380
