year,new_fraction,chaperoned_fraction,established_fraction
1990,0.462,0.034,0.503
1991,0.430,0.047,0.523
1992,0.548,0.045,0.407
1993,0.447,0.039,0.513
1994,0.451,0.045,0.504
1995,0.512,0.058,0.430
1996,0.507,0.035,0.458
1997,0.417,0.043,0.540
1998,0.394,0.036,0.570
1999,0.443,0.042,0.515
2000,0.503,0.045,0.453
2001,0.506,0.030,0.464
2002,0.507,0.049,0.444
2003,0.497,0.047,0.456
2004,0.575,0.015,0.410
2005,0.608,0.039,0.353
2006,0.624,0.032,0.344
2007,0.687,0.012,0.301
2008,0.549,0.056,0.396
2009,0.457,0.058,0.486
2010,0.514,0.036,0.450
2011,0.430,0.020,0.550
2012,0.500,0.019,0.481
