year,new_fraction,chaperoned_fraction,established_fraction
1990,0.495,0.053,0.453
1991,0.419,0.068,0.513
1992,0.345,0.060,0.595
1993,0.312,0.054,0.634
1994,0.387,0.036,0.577
1995,0.376,0.051,0.573
1996,0.349,0.094,0.557
1997,0.440,0.052,0.509
1998,0.386,0.040,0.574
1999,0.330,0.080,0.591
2000,0.365,0.081,0.554
2001,0.379,0.106,0.515
2002,0.393,0.054,0.554
2003,0.431,0.125,0.444
2004,0.402,0.072,0.526
2005,0.278,0.124,0.598
2006,0.449,0.051,0.500
2007,0.423,0.106,0.471
2008,0.297,0.089,0.614
2009,0.401,0.095,0.503
2010,0.427,0.077,0.496
2011,0.296,0.096,0.609
2012,0.333,0.087,0.580
