year,new_fraction,chaperoned_fraction,established_fraction
1990,0.511,0.045,0.444
1991,0.489,0.034,0.477
1992,0.552,0.017,0.430
1993,0.575,0.060,0.365
1994,0.599,0.030,0.371
1995,0.610,0.025,0.365
1996,0.565,0.023,0.412
1997,0.603,0.015,0.382
1998,0.571,0.050,0.379
1999,0.578,0.031,0.391
2000,0.609,0.030,0.361
2001,0.664,0.023,0.313
2002,0.579,0.021,0.400
2003,0.652,0.019,0.329
2004,0.637,0.044,0.319
2005,0.620,0.039,0.341
2006,0.652,0.036,0.312
2007,0.634,0.031,0.336
2008,0.599,0.036,0.365
2009,0.583,0.038,0.379
2010,0.626,0.046,0.328
2011,0.615,0.030,0.356
2012,0.655,0.071,0.274
