year,new_fraction,chaperoned_fraction,established_fraction
1990,0.446,0.026,0.528
1991,0.372,0.019,0.609
1992,0.403,0.022,0.575
1993,0.406,0.021,0.573
1994,0.378,0.035,0.587
1995,0.310,0.037,0.653
1996,0.335,0.031,0.634
1997,0.332,0.032,0.636
1998,0.372,0.021,0.607
1999,0.336,0.032,0.632
2000,0.312,0.012,0.676
2001,0.311,0.028,0.660
2002,0.341,0.009,0.651
2003,0.240,0.034,0.726
2004,0.266,0.030,0.704
2005,0.312,0.032,0.656
2006,0.305,0.011,0.684
2007,0.275,0.033,0.692
2008,0.319,0.049,0.632
2009,0.276,0.028,0.696
2010,0.269,0.022,0.709
2011,0.243,0.016,0.741
2012,0.388,0.014,0.597
