year,new_fraction,chaperoned_fraction,established_fraction
1990,0.462,0.065,0.473
1991,0.434,0.080,0.485
1992,0.390,0.052,0.557
1993,0.466,0.065,0.470
1994,0.411,0.063,0.527
1995,0.440,0.054,0.506
1996,0.456,0.061,0.482
1997,0.365,0.069,0.567
1998,0.463,0.053,0.483
1999,0.381,0.069,0.550
2000,0.405,0.061,0.534
2001,0.353,0.056,0.591
2002,0.328,0.085,0.587
2003,0.293,0.069,0.638
2004,0.355,0.084,0.561
2005,0.384,0.067,0.548
2006,0.420,0.072,0.508
2007,0.357,0.050,0.592
2008,0.366,0.099,0.535
2009,0.374,0.070,0.556
2010,0.321,0.085,0.594
2011,0.421,0.081,0.498
2012,0.331,0.105,0.564
