year,new_fraction,chaperoned_fraction,established_fraction
1990,0.312,0.028,0.660
1991,0.427,0.028,0.545
1992,0.404,0.035,0.561
1993,0.391,0.058,0.550
1994,0.437,0.036,0.527
1995,0.392,0.026,0.582
1996,0.462,0.036,0.503
1997,0.402,0.030,0.568
1998,0.422,0.040,0.537
1999,0.384,0.038,0.578
2000,0.405,0.043,0.552
2001,0.387,0.045,0.568
2002,0.353,0.033,0.614
2003,0.376,0.047,0.576
2004,0.418,0.052,0.530
2005,0.372,0.044,0.585
2006,0.352,0.050,0.598
2007,0.402,0.057,0.541
2008,0.370,0.048,0.582
2009,0.386,0.047,0.567
2010,0.398,0.039,0.563
2011,0.370,0.048,0.582
2012,0.436,0.032,0.532
