year,new_fraction,chaperoned_fraction,established_fraction
1990,0.675,0.041,0.285
1991,0.533,0.115,0.352
1992,0.546,0.066,0.388
1993,0.556,0.102,0.342
1994,0.639,0.063,0.298
1995,0.583,0.108,0.309
1996,0.587,0.102,0.311
1997,0.549,0.116,0.335
1998,0.528,0.087,0.384
1999,0.520,0.118,0.362
2000,0.557,0.091,0.352
2001,0.509,0.098,0.392
2002,0.494,0.096,0.410
2003,0.473,0.141,0.386
2004,0.448,0.127,0.425
2005,0.422,0.134,0.444
2006,0.409,0.157,0.434
2007,0.429,0.128,0.443
2008,0.377,0.138,0.486
2009,0.393,0.109,0.498
2010,0.383,0.119,0.498
2011,0.363,0.132,0.504
2012,0.350,0.136,0.514
