year,new_fraction,chaperoned_fraction,established_fraction
1990,0.328,0.044,0.627
1991,0.315,0.125,0.561
1992,0.258,0.117,0.625
1993,0.305,0.104,0.591
1994,0.270,0.081,0.649
1995,0.275,0.098,0.627
1996,0.282,0.108,0.609
1997,0.238,0.098,0.664
1998,0.246,0.084,0.671
1999,0.256,0.106,0.638
2000,0.255,0.109,0.636
2001,0.232,0.124,0.644
2002,0.239,0.088,0.673
2003,0.198,0.129,0.673
2004,0.254,0.103,0.643
2005,0.244,0.147,0.608
2006,0.220,0.117,0.663
2007,0.228,0.134,0.639
2008,0.244,0.122,0.633
2009,0.198,0.142,0.660
2010,0.210,0.109,0.681
2011,0.175,0.104,0.720
2012,0.189,0.126,0.685
