year,new_fraction,chaperoned_fraction,established_fraction
1990,0.381,0.070,0.549
1991,0.408,0.050,0.542
1992,0.349,0.065,0.586
1993,0.406,0.055,0.539
1994,0.448,0.050,0.502
1995,0.423,0.068,0.510
1996,0.416,0.067,0.517
1997,0.415,0.077,0.508
1998,0.443,0.056,0.501
1999,0.392,0.068,0.540
2000,0.455,0.070,0.475
2001,0.408,0.106,0.486
2002,0.410,0.052,0.538
2003,0.429,0.076,0.494
2004,0.402,0.096,0.502
2005,0.428,0.092,0.480
2006,0.415,0.083,0.503
2007,0.441,0.088,0.471
2008,0.453,0.084,0.463
2009,0.452,0.089,0.460
2010,0.438,0.102,0.460
2011,0.400,0.097,0.502
2012,0.386,0.102,0.512
