year,new_fraction,chaperoned_fraction,established_fraction
1990,0.452,0.071,0.477
1991,0.383,0.032,0.585
1992,0.370,0.046,0.584
1993,0.433,0.084,0.483
1994,0.345,0.054,0.601
1995,0.415,0.070,0.514
1996,0.380,0.075,0.544
1997,0.438,0.062,0.500
1998,0.385,0.073,0.542
1999,0.403,0.049,0.549
2000,0.396,0.050,0.554
2001,0.407,0.045,0.549
2002,0.374,0.053,0.573
2003,0.380,0.076,0.544
2004,0.365,0.082,0.553
2005,0.392,0.063,0.545
2006,0.421,0.051,0.528
2007,0.346,0.059,0.595
2008,0.338,0.080,0.582
2009,0.385,0.074,0.541
2010,0.398,0.059,0.543
2011,0.348,0.059,0.593
2012,0.395,0.074,0.531
