year,new_fraction,chaperoned_fraction,established_fraction
1990,0.466,0.039,0.495
1991,0.505,0.020,0.474
1992,0.475,0.012,0.512
1993,0.497,0.022,0.481
1994,0.507,0.013,0.480
1995,0.453,0.022,0.525
1996,0.409,0.009,0.582
1997,0.409,0.023,0.567
1998,0.483,0.017,0.500
1999,0.381,0.013,0.605
2000,0.415,0.028,0.557
2001,0.444,0.011,0.545
2002,0.405,0.036,0.559
2003,0.397,0.019,0.584
2004,0.347,0.031,0.622
2005,0.411,0.010,0.578
2006,0.465,0.009,0.526
2007,0.477,0.025,0.497
2008,0.454,0.016,0.530
2009,0.468,0.035,0.498
2010,0.409,0.020,0.571
2011,0.446,0.036,0.518
2012,0.497,0.036,0.467
