year,new_fraction,chaperoned_fraction,established_fraction
1990,0.448,0.024,0.528
1991,0.522,0.029,0.449
1992,0.505,0.050,0.445
1993,0.540,0.031,0.428
1994,0.532,0.043,0.425
1995,0.500,0.022,0.478
1996,0.499,0.051,0.450
1997,0.437,0.041,0.522
1998,0.515,0.030,0.455
1999,0.527,0.044,0.429
2000,0.560,0.033,0.407
2001,0.517,0.036,0.447
2002,0.487,0.053,0.460
2003,0.539,0.042,0.419
2004,0.509,0.042,0.449
2005,0.557,0.041,0.402
2006,0.537,0.050,0.413
2007,0.507,0.061,0.432
2008,0.569,0.052,0.378
2009,0.580,0.031,0.390
2010,0.575,0.050,0.375
2011,0.581,0.053,0.366
2012,0.571,0.080,0.349
