year,new_fraction,chaperoned_fraction,established_fraction
1990,0.607,0.027,0.366
1991,0.618,0.034,0.349
1992,0.634,0.036,0.330
1993,0.633,0.029,0.338
1994,0.642,0.041,0.317
1995,0.651,0.032,0.317
1996,0.618,0.032,0.350
1997,0.622,0.032,0.346
1998,0.659,0.032,0.309
1999,0.611,0.028,0.361
2000,0.648,0.025,0.327
2001,0.598,0.057,0.345
2002,0.673,0.041,0.286
2003,0.672,0.051,0.277
2004,0.670,0.033,0.297
2005,0.630,0.041,0.329
2006,0.629,0.042,0.329
2007,0.612,0.042,0.346
2008,0.597,0.061,0.342
2009,0.630,0.049,0.321
2010,0.669,0.050,0.281
2011,0.603,0.060,0.337
2012,0.624,0.069,0.307
