year,new_fraction,chaperoned_fraction,established_fraction
1990,0.560,0.158,0.282
1991,0.551,0.164,0.286
1992,0.563,0.146,0.291
1993,0.489,0.175,0.335
1994,0.463,0.130,0.407
1995,0.465,0.181,0.355
1996,0.440,0.177,0.383
1997,0.335,0.236,0.429
1998,0.361,0.233,0.406
1999,0.292,0.205,0.504
2000,0.314,0.180,0.506
2001,0.240,0.222,0.538
2002,0.245,0.207,0.548
2003,0.247,0.209,0.544
2004,0.245,0.261,0.494
2005,0.307,0.186,0.507
2006,0.237,0.237,0.525
2007,0.261,0.205,0.534
2008,0.244,0.202,0.554
2009,0.224,0.221,0.555
2010,0.194,0.234,0.572
2011,0.173,0.214,0.613
2012,0.153,0.214,0.633
