year,new_fraction,chaperoned_fraction,established_fraction
1990,0.434,0.109,0.457
1991,0.418,0.130,0.452
1992,0.409,0.140,0.450
1993,0.383,0.208,0.410
1994,0.423,0.123,0.454
1995,0.426,0.131,0.442
1996,0.419,0.152,0.429
1997,0.451,0.175,0.374
1998,0.410,0.194,0.396
1999,0.417,0.131,0.452
2000,0.351,0.160,0.490
2001,0.363,0.121,0.516
2002,0.365,0.165,0.470
2003,0.379,0.132,0.489
2004,0.439,0.172,0.389
2005,0.377,0.138,0.485
2006,0.377,0.207,0.417
2007,0.333,0.225,0.442
2008,0.346,0.159,0.495
2009,0.364,0.188,0.448
2010,0.337,0.181,0.482
2011,0.320,0.219,0.461
2012,0.378,0.133,0.489
