year,new_fraction,chaperoned_fraction,established_fraction
1990,0.330,0.100,0.570
1991,0.355,0.130,0.515
1992,0.346,0.140,0.513
1993,0.240,0.136,0.623
1994,0.238,0.180,0.582
1995,0.293,0.128,0.580
1996,0.332,0.130,0.538
1997,0.354,0.144,0.501
1998,0.253,0.110,0.637
1999,0.290,0.167,0.543
2000,0.363,0.170,0.467
2001,0.312,0.130,0.558
2002,0.255,0.186,0.559
2003,0.295,0.190,0.515
2004,0.294,0.155,0.550
2005,0.322,0.169,0.508
2006,0.391,0.162,0.447
2007,0.322,0.133,0.545
2008,0.280,0.222,0.498
2009,0.269,0.172,0.560
2010,0.209,0.162,0.630
2011,0.236,0.158,0.606
2012,0.244,0.186,0.570
