year,new_fraction,chaperoned_fraction,established_fraction
1990,0.541,0.127,0.332
1991,0.465,0.115,0.419
1992,0.467,0.159,0.374
1993,0.441,0.118,0.441
1994,0.486,0.127,0.386
1995,0.494,0.163,0.344
1996,0.421,0.134,0.445
1997,0.424,0.140,0.436
1998,0.486,0.188,0.326
1999,0.448,0.145,0.406
2000,0.447,0.155,0.398
2001,0.414,0.153,0.433
2002,0.518,0.146,0.335
2003,0.416,0.224,0.360
2004,0.386,0.159,0.455
2005,0.450,0.164,0.386
2006,0.365,0.176,0.459
2007,0.367,0.171,0.462
2008,0.363,0.145,0.492
2009,0.267,0.267,0.466
2010,0.404,0.239,0.358
2011,0.402,0.196,0.402
2012,0.388,0.165,0.447
