year,new_fraction,chaperoned_fraction,established_fraction
1990,0.509,0.214,0.277
1991,0.604,0.094,0.302
1992,0.484,0.205,0.311
1993,0.456,0.184,0.360
1994,0.478,0.142,0.381
1995,0.352,0.162,0.486
1996,0.485,0.158,0.357
1997,0.476,0.155,0.369
1998,0.428,0.193,0.379
1999,0.409,0.183,0.409
2000,0.463,0.090,0.448
2001,0.336,0.133,0.531
2002,0.462,0.176,0.361
2003,0.475,0.150,0.375
2004,0.474,0.138,0.388
2005,0.489,0.149,0.362
2006,0.443,0.153,0.404
2007,0.494,0.167,0.339
2008,0.558,0.138,0.304
2009,0.443,0.152,0.405
2010,0.463,0.200,0.338
2011,0.484,0.221,0.295
2012,0.494,0.229,0.277
