year,new_fraction,chaperoned_fraction,established_fraction
1990,0.358,0.148,0.494
1991,0.430,0.150,0.421
1992,0.368,0.128,0.504
1993,0.407,0.141,0.452
1994,0.412,0.168,0.420
1995,0.494,0.160,0.346
1996,0.400,0.195,0.405
1997,0.422,0.177,0.401
1998,0.442,0.166,0.393
1999,0.370,0.193,0.437
2000,0.469,0.144,0.387
2001,0.349,0.139,0.512
2002,0.321,0.193,0.486
2003,0.339,0.175,0.487
2004,0.312,0.153,0.534
2005,0.251,0.209,0.540
2006,0.294,0.166,0.540
2007,0.286,0.168,0.546
2008,0.279,0.178,0.543
2009,0.256,0.148,0.596
2010,0.253,0.153,0.595
2011,0.227,0.212,0.562
2012,0.310,0.135,0.555
