year,new_fraction,chaperoned_fraction,established_fraction
1990,0.657,0.028,0.315
1991,0.684,0.047,0.269
1992,0.672,0.046,0.282
1993,0.686,0.059,0.254
1994,0.689,0.038,0.273
1995,0.791,0.023,0.186
1996,0.698,0.079,0.223
1997,0.744,0.045,0.211
1998,0.677,0.060,0.264
1999,0.657,0.060,0.283
2000,0.665,0.060,0.275
2001,0.679,0.033,0.288
2002,0.678,0.026,0.296
2003,0.643,0.062,0.295
2004,0.642,0.050,0.307
2005,0.635,0.056,0.310
2006,0.622,0.049,0.330
2007,0.677,0.048,0.274
2008,0.653,0.100,0.247
2009,0.612,0.082,0.306
2010,0.631,0.081,0.287
2011,0.676,0.055,0.269
2012,0.677,0.068,0.256
