year,new_fraction,chaperoned_fraction,established_fraction
1990,0.396,0.174,0.430
1991,0.426,0.176,0.398
1992,0.433,0.172,0.395
1993,0.444,0.178,0.378
1994,0.417,0.150,0.433
1995,0.406,0.149,0.444
1996,0.367,0.205,0.429
1997,0.391,0.211,0.398
1998,0.438,0.215,0.347
1999,0.369,0.192,0.439
2000,0.380,0.173,0.447
2001,0.389,0.201,0.409
2002,0.362,0.205,0.433
2003,0.406,0.171,0.423
2004,0.292,0.200,0.508
2005,0.301,0.182,0.517
2006,0.278,0.237,0.485
2007,0.292,0.208,0.500
2008,0.272,0.254,0.474
2009,0.294,0.213,0.493
2010,0.273,0.242,0.485
2011,0.255,0.242,0.503
2012,0.296,0.208,0.496
