year,new_fraction,chaperoned_fraction,established_fraction
1990,0.498,0.149,0.354
1991,0.499,0.136,0.365
1992,0.422,0.190,0.388
1993,0.472,0.136,0.391
1994,0.414,0.152,0.435
1995,0.448,0.126,0.426
1996,0.425,0.194,0.381
1997,0.374,0.174,0.452
1998,0.442,0.147,0.411
1999,0.398,0.156,0.446
2000,0.354,0.179,0.467
2001,0.294,0.190,0.516
2002,0.290,0.185,0.525
2003,0.285,0.161,0.555
2004,0.272,0.181,0.547
2005,0.305,0.214,0.481
2006,0.285,0.179,0.536
2007,0.280,0.191,0.529
2008,0.319,0.163,0.518
2009,0.283,0.206,0.511
2010,0.255,0.197,0.547
2011,0.261,0.166,0.573
2012,0.243,0.213,0.543
