year,new_fraction,chaperoned_fraction,established_fraction
1990,0.353,0.162,0.485
1991,0.392,0.159,0.449
1992,0.326,0.138,0.536
1993,0.286,0.179,0.535
1994,0.337,0.171,0.492
1995,0.330,0.167,0.503
1996,0.298,0.194,0.509
1997,0.314,0.200,0.486
1998,0.339,0.177,0.484
1999,0.312,0.169,0.519
2000,0.318,0.159,0.523
2001,0.310,0.193,0.497
2002,0.330,0.148,0.522
2003,0.288,0.190,0.522
2004,0.285,0.175,0.540
2005,0.261,0.203,0.536
2006,0.250,0.193,0.557
2007,0.252,0.195,0.553
2008,0.281,0.194,0.525
2009,0.259,0.218,0.523
2010,0.259,0.213,0.528
2011,0.281,0.196,0.523
2012,0.265,0.206,0.529
