year,new_fraction,chaperoned_fraction,established_fraction
1990,0.432,0.152,0.417
1991,0.486,0.119,0.395
1992,0.461,0.132,0.408
1993,0.462,0.102,0.436
1994,0.444,0.142,0.413
1995,0.429,0.168,0.403
1996,0.414,0.137,0.449
1997,0.393,0.143,0.464
1998,0.389,0.116,0.495
1999,0.376,0.162,0.462
2000,0.355,0.137,0.508
2001,0.360,0.163,0.477
2002,0.343,0.163,0.494
2003,0.352,0.167,0.482
2004,0.339,0.157,0.505
2005,0.297,0.168,0.535
2006,0.322,0.207,0.471
2007,0.369,0.181,0.450
2008,0.294,0.192,0.514
2009,0.358,0.182,0.460
2010,0.347,0.153,0.500
2011,0.298,0.246,0.456
2012,0.279,0.211,0.510
