year,new_fraction,chaperoned_fraction,established_fraction
1990,0.800,0.067,0.133
1991,0.735,0.088,0.176
1992,0.655,0.129,0.216
1993,0.684,0.061,0.254
1994,0.664,0.082,0.254
1995,0.620,0.185,0.196
1996,0.620,0.120,0.259
1997,0.689,0.129,0.182
1998,0.697,0.066,0.238
1999,0.679,0.130,0.191
2000,0.604,0.144,0.252
2001,0.616,0.072,0.312
2002,0.513,0.157,0.330
2003,0.577,0.122,0.301
2004,0.558,0.109,0.333
2005,0.504,0.148,0.348
2006,0.606,0.121,0.273
2007,0.494,0.159,0.347
2008,0.571,0.092,0.337
2009,0.577,0.144,0.279
2010,0.555,0.153,0.292
2011,0.621,0.108,0.271
2012,0.608,0.156,0.236
