year,new_fraction,chaperoned_fraction,established_fraction
1990,0.396,0.115,0.489
1991,0.394,0.100,0.506
1992,0.398,0.124,0.478
1993,0.399,0.091,0.510
1994,0.460,0.099,0.441
1995,0.401,0.118,0.481
1996,0.389,0.138,0.472
1997,0.357,0.112,0.531
1998,0.392,0.133,0.475
1999,0.372,0.131,0.497
2000,0.427,0.125,0.448
2001,0.430,0.096,0.474
2002,0.419,0.114,0.467
2003,0.364,0.127,0.509
2004,0.377,0.158,0.465
2005,0.432,0.113,0.455
2006,0.384,0.148,0.468
2007,0.473,0.108,0.419
2008,0.382,0.128,0.490
2009,0.417,0.122,0.461
2010,0.422,0.156,0.422
2011,0.436,0.157,0.408
2012,0.452,0.178,0.370
