year,new_fraction,chaperoned_fraction,established_fraction
1990,0.574,0.111,0.315
1991,0.511,0.162,0.326
1992,0.505,0.172,0.324
1993,0.556,0.157,0.287
1994,0.518,0.147,0.335
1995,0.484,0.172,0.344
1996,0.530,0.128,0.342
1997,0.447,0.187,0.366
1998,0.473,0.141,0.386
1999,0.426,0.207,0.367
2000,0.482,0.194,0.325
2001,0.434,0.162,0.404
2002,0.414,0.155,0.431
2003,0.446,0.184,0.370
2004,0.445,0.192,0.363
2005,0.456,0.186,0.358
2006,0.438,0.192,0.370
2007,0.464,0.169,0.367
2008,0.450,0.204,0.346
2009,0.426,0.179,0.395
2010,0.476,0.202,0.322
2011,0.410,0.202,0.389
2012,0.345,0.205,0.449
