year,new_fraction,chaperoned_fraction,established_fraction
1990,0.285,0.215,0.500
1991,0.321,0.173,0.506
1992,0.393,0.143,0.464
1993,0.297,0.171,0.531
1994,0.307,0.173,0.520
1995,0.317,0.207,0.476
1996,0.340,0.208,0.452
1997,0.322,0.260,0.418
1998,0.342,0.201,0.457
1999,0.439,0.189,0.373
2000,0.391,0.200,0.409
2001,0.353,0.196,0.451
2002,0.362,0.202,0.437
2003,0.336,0.238,0.426
2004,0.303,0.192,0.504
2005,0.342,0.207,0.451
2006,0.365,0.205,0.430
2007,0.366,0.199,0.436
2008,0.393,0.232,0.375
2009,0.358,0.220,0.421
2010,0.354,0.257,0.389
2011,0.323,0.225,0.452
2012,0.351,0.212,0.438
