year,new_fraction,chaperoned_fraction,established_fraction
1990,0.536,0.095,0.369
1991,0.432,0.103,0.466
1992,0.503,0.116,0.381
1993,0.534,0.099,0.366
1994,0.618,0.083,0.299
1995,0.545,0.077,0.378
1996,0.488,0.151,0.360
1997,0.495,0.113,0.392
1998,0.548,0.140,0.312
1999,0.536,0.108,0.356
2000,0.519,0.126,0.354
2001,0.451,0.143,0.406
2002,0.541,0.141,0.319
2003,0.504,0.130,0.365
2004,0.542,0.131,0.327
2005,0.528,0.132,0.340
2006,0.568,0.116,0.315
2007,0.491,0.186,0.323
2008,0.497,0.166,0.337
2009,0.430,0.182,0.388
2010,0.491,0.177,0.331
2011,0.528,0.120,0.352
2012,0.597,0.160,0.243
