year,new_fraction,chaperoned_fraction,established_fraction
1990,0.399,0.150,0.450
1991,0.366,0.149,0.486
1992,0.361,0.141,0.498
1993,0.374,0.151,0.475
1994,0.394,0.145,0.462
1995,0.326,0.182,0.492
1996,0.384,0.163,0.452
1997,0.349,0.159,0.492
1998,0.403,0.184,0.413
1999,0.368,0.181,0.451
2000,0.404,0.178,0.417
2001,0.360,0.178,0.463
2002,0.353,0.187,0.460
2003,0.361,0.177,0.462
2004,0.377,0.195,0.428
2005,0.402,0.172,0.426
2006,0.446,0.173,0.381
2007,0.418,0.185,0.397
2008,0.362,0.199,0.440
2009,0.342,0.188,0.470
2010,0.374,0.181,0.445
2011,0.391,0.150,0.459
2012,0.379,0.178,0.443
