year,new_fraction,chaperoned_fraction,established_fraction
1990,0.643,0.137,0.220
1991,0.705,0.142,0.153
1992,0.629,0.136,0.235
1993,0.594,0.134,0.272
1994,0.564,0.171,0.265
1995,0.524,0.176,0.300
1996,0.526,0.180,0.294
1997,0.576,0.169,0.256
1998,0.566,0.163,0.271
1999,0.515,0.184,0.301
2000,0.556,0.142,0.302
2001,0.516,0.175,0.309
2002,0.490,0.151,0.359
2003,0.516,0.148,0.336
2004,0.440,0.190,0.369
2005,0.434,0.234,0.332
2006,0.453,0.182,0.366
2007,0.398,0.213,0.389
2008,0.365,0.240,0.395
2009,0.388,0.215,0.397
2010,0.447,0.207,0.347
2011,0.434,0.244,0.322
2012,0.352,0.263,0.384
