year,new_fraction,chaperoned_fraction,established_fraction
1990,0.460,0.142,0.397
1991,0.476,0.198,0.326
1992,0.495,0.154,0.351
1993,0.458,0.186,0.356
1994,0.411,0.185,0.404
1995,0.383,0.171,0.446
1996,0.387,0.241,0.372
1997,0.398,0.178,0.424
1998,0.490,0.129,0.381
1999,0.392,0.185,0.423
2000,0.395,0.207,0.398
2001,0.453,0.130,0.417
2002,0.411,0.216,0.373
2003,0.357,0.213,0.430
2004,0.395,0.209,0.395
2005,0.370,0.203,0.427
2006,0.336,0.209,0.455
2007,0.329,0.215,0.456
2008,0.226,0.204,0.571
2009,0.275,0.225,0.500
2010,0.315,0.207,0.479
2011,0.270,0.191,0.540
2012,0.352,0.158,0.490
