year,new_fraction,chaperoned_fraction,established_fraction
1990,0.409,0.116,0.476
1991,0.368,0.161,0.471
1992,0.305,0.166,0.529
1993,0.315,0.131,0.554
1994,0.353,0.152,0.496
1995,0.337,0.140,0.523
1996,0.345,0.155,0.500
1997,0.320,0.192,0.488
1998,0.324,0.211,0.465
1999,0.378,0.180,0.442
2000,0.295,0.168,0.537
2001,0.286,0.184,0.531
2002,0.355,0.140,0.505
2003,0.328,0.183,0.489
2004,0.310,0.198,0.492
2005,0.302,0.192,0.505
2006,0.279,0.185,0.537
2007,0.313,0.171,0.516
2008,0.259,0.178,0.563
2009,0.265,0.172,0.563
2010,0.297,0.132,0.571
2011,0.239,0.152,0.609
2012,0.261,0.198,0.541
