year,new_fraction,chaperoned_fraction,established_fraction
1990,0.502,0.181,0.316
1991,0.437,0.159,0.404
1992,0.500,0.184,0.316
1993,0.419,0.209,0.372
1994,0.464,0.168,0.369
1995,0.293,0.228,0.478
1996,0.385,0.193,0.422
1997,0.364,0.175,0.462
1998,0.379,0.172,0.450
1999,0.328,0.209,0.464
2000,0.300,0.202,0.498
2001,0.378,0.165,0.458
2002,0.338,0.199,0.463
2003,0.276,0.191,0.532
2004,0.317,0.205,0.479
2005,0.293,0.246,0.462
2006,0.266,0.200,0.534
2007,0.285,0.188,0.528
2008,0.276,0.242,0.481
2009,0.281,0.264,0.455
2010,0.266,0.259,0.475
2011,0.281,0.244,0.475
2012,0.278,0.224,0.498
