year,new_fraction,chaperoned_fraction,established_fraction
1990,0.224,0.199,0.577
1991,0.206,0.223,0.572
1992,0.215,0.212,0.574
1993,0.226,0.180,0.594
1994,0.215,0.183,0.602
1995,0.191,0.217,0.592
1996,0.187,0.218,0.595
1997,0.183,0.205,0.611
1998,0.219,0.208,0.573
1999,0.188,0.210,0.602
2000,0.196,0.201,0.603
2001,0.174,0.207,0.619
2002,0.138,0.213,0.649
2003,0.153,0.208,0.639
2004,0.169,0.183,0.648
2005,0.146,0.207,0.647
2006,0.167,0.205,0.627
2007,0.142,0.192,0.666
2008,0.124,0.205,0.672
2009,0.129,0.210,0.661
2010,0.112,0.212,0.676
2011,0.128,0.208,0.664
2012,0.109,0.203,0.688
