year,new_fraction,chaperoned_fraction,established_fraction
1990,0.346,0.164,0.491
1991,0.351,0.174,0.475
1992,0.373,0.193,0.433
1993,0.265,0.203,0.532
1994,0.272,0.183,0.545
1995,0.290,0.169,0.540
1996,0.220,0.189,0.591
1997,0.277,0.203,0.520
1998,0.258,0.198,0.544
1999,0.212,0.219,0.569
2000,0.208,0.208,0.584
2001,0.220,0.203,0.577
2002,0.202,0.184,0.614
2003,0.198,0.191,0.611
2004,0.179,0.249,0.573
2005,0.172,0.258,0.569
2006,0.193,0.217,0.590
2007,0.218,0.187,0.595
2008,0.178,0.206,0.616
2009,0.186,0.232,0.582
2010,0.203,0.220,0.577
2011,0.178,0.275,0.547
2012,0.168,0.254,0.577
