year,new_fraction,chaperoned_fraction,established_fraction
1990,0.329,0.137,0.534
1991,0.480,0.197,0.323
1992,0.421,0.188,0.391
1993,0.421,0.195,0.383
1994,0.538,0.125,0.337
1995,0.447,0.191,0.362
1996,0.414,0.176,0.410
1997,0.374,0.153,0.473
1998,0.433,0.119,0.448
1999,0.466,0.167,0.368
2000,0.446,0.161,0.392
2001,0.391,0.188,0.421
2002,0.436,0.207,0.356
2003,0.405,0.177,0.418
2004,0.438,0.150,0.412
2005,0.387,0.194,0.419
2006,0.375,0.182,0.443
2007,0.354,0.247,0.399
2008,0.331,0.186,0.483
2009,0.442,0.171,0.387
2010,0.371,0.240,0.389
2011,0.398,0.187,0.415
2012,0.507,0.140,0.353
