year,new_fraction,chaperoned_fraction,established_fraction
1990,0.357,0.037,0.606
1991,0.417,0.029,0.553
1992,0.351,0.042,0.607
1993,0.354,0.041,0.605
1994,0.349,0.043,0.608
1995,0.344,0.038,0.618
1996,0.336,0.057,0.607
1997,0.345,0.075,0.580
1998,0.322,0.046,0.631
1999,0.344,0.055,0.601
2000,0.333,0.063,0.604
2001,0.360,0.068,0.572
2002,0.361,0.077,0.561
2003,0.350,0.064,0.587
2004,0.348,0.077,0.575
2005,0.398,0.066,0.536
2006,0.385,0.093,0.523
2007,0.354,0.081,0.565
2008,0.396,0.083,0.521
2009,0.390,0.064,0.546
2010,0.366,0.066,0.568
2011,0.384,0.081,0.534
2012,0.372,0.101,0.527
