year,new_fraction,chaperoned_fraction,established_fraction
1990,0.389,0.138,0.473
1991,0.382,0.141,0.476
1992,0.360,0.126,0.514
1993,0.388,0.163,0.449
1994,0.426,0.140,0.434
1995,0.424,0.115,0.461
1996,0.349,0.144,0.507
1997,0.319,0.140,0.541
1998,0.376,0.160,0.464
1999,0.338,0.170,0.493
2000,0.357,0.153,0.490
2001,0.360,0.143,0.498
2002,0.391,0.176,0.433
2003,0.419,0.157,0.424
2004,0.382,0.177,0.441
2005,0.354,0.180,0.466
2006,0.392,0.142,0.466
2007,0.383,0.197,0.419
2008,0.374,0.208,0.418
2009,0.331,0.196,0.472
2010,0.396,0.175,0.429
2011,0.375,0.174,0.451
2012,0.392,0.181,0.427
