year,new_fraction,chaperoned_fraction,established_fraction
1990,0.375,0.178,0.447
1991,0.343,0.198,0.459
1992,0.405,0.162,0.433
1993,0.324,0.203,0.473
1994,0.368,0.149,0.483
1995,0.345,0.227,0.428
1996,0.369,0.152,0.479
1997,0.333,0.171,0.496
1998,0.351,0.180,0.469
1999,0.339,0.203,0.457
2000,0.325,0.196,0.479
2001,0.331,0.208,0.462
2002,0.302,0.203,0.495
2003,0.325,0.214,0.460
2004,0.323,0.234,0.443
2005,0.269,0.224,0.507
2006,0.296,0.254,0.450
2007,0.289,0.231,0.480
2008,0.279,0.250,0.471
2009,0.277,0.268,0.455
2010,0.281,0.269,0.451
2011,0.255,0.260,0.485
2012,0.229,0.237,0.534
