year,new_fraction,chaperoned_fraction,established_fraction
1990,0.303,0.129,0.568
1991,0.334,0.111,0.554
1992,0.292,0.143,0.565
1993,0.262,0.119,0.619
1994,0.292,0.113,0.595
1995,0.314,0.136,0.551
1996,0.329,0.128,0.543
1997,0.278,0.169,0.553
1998,0.281,0.150,0.568
1999,0.238,0.162,0.600
2000,0.253,0.142,0.605
2001,0.227,0.173,0.600
2002,0.248,0.204,0.548
2003,0.265,0.160,0.575
2004,0.254,0.157,0.590
2005,0.255,0.168,0.577
2006,0.244,0.174,0.581
2007,0.217,0.196,0.587
2008,0.334,0.181,0.485
2009,0.238,0.176,0.585
2010,0.262,0.224,0.515
2011,0.217,0.205,0.578
2012,0.239,0.179,0.582
