year,new_fraction,chaperoned_fraction,established_fraction
1990,0.456,0.176,0.368
1991,0.504,0.154,0.341
1992,0.523,0.129,0.349
1993,0.444,0.123,0.433
1994,0.384,0.169,0.448
1995,0.365,0.180,0.455
1996,0.480,0.194,0.326
1997,0.418,0.190,0.392
1998,0.509,0.142,0.349
1999,0.487,0.142,0.371
2000,0.487,0.152,0.361
2001,0.448,0.175,0.376
2002,0.475,0.201,0.324
2003,0.420,0.183,0.396
2004,0.493,0.172,0.335
2005,0.537,0.154,0.308
2006,0.503,0.175,0.322
2007,0.609,0.142,0.249
2008,0.500,0.180,0.320
2009,0.506,0.159,0.335
2010,0.565,0.173,0.262
2011,0.492,0.209,0.299
2012,0.477,0.181,0.341
