year,new_fraction,chaperoned_fraction,established_fraction
1990,0.297,0.141,0.562
1991,0.267,0.145,0.588
1992,0.305,0.146,0.549
1993,0.304,0.142,0.554
1994,0.248,0.144,0.608
1995,0.273,0.162,0.565
1996,0.302,0.166,0.532
1997,0.294,0.141,0.565
1998,0.298,0.141,0.561
1999,0.279,0.169,0.552
2000,0.235,0.173,0.593
2001,0.310,0.163,0.528
2002,0.253,0.180,0.566
2003,0.249,0.175,0.576
2004,0.238,0.202,0.560
2005,0.327,0.160,0.512
2006,0.340,0.188,0.472
2007,0.262,0.206,0.532
2008,0.281,0.209,0.510
2009,0.354,0.210,0.437
2010,0.273,0.262,0.465
2011,0.256,0.240,0.504
2012,0.373,0.213,0.414
