year,new_fraction,chaperoned_fraction,established_fraction
1990,0.351,0.107,0.543
1991,0.346,0.112,0.542
1992,0.337,0.112,0.550
1993,0.349,0.109,0.542
1994,0.340,0.111,0.549
1995,0.362,0.112,0.526
1996,0.334,0.124,0.542
1997,0.332,0.107,0.562
1998,0.343,0.120,0.537
1999,0.365,0.108,0.527
2000,0.351,0.111,0.538
2001,0.363,0.113,0.524
2002,0.407,0.121,0.472
2003,0.388,0.129,0.483
2004,0.397,0.111,0.492
2005,0.393,0.111,0.496
2006,0.409,0.091,0.500
2007,0.381,0.107,0.512
2008,0.415,0.111,0.474
2009,0.350,0.136,0.514
2010,0.381,0.136,0.483
2011,0.361,0.144,0.495
2012,0.339,0.121,0.540
