year,new_fraction,chaperoned_fraction,established_fraction
1990,0.563,0.155,0.282
1991,0.586,0.214,0.200
1992,0.734,0.101,0.165
1993,0.615,0.154,0.231
1994,0.562,0.188,0.250
1995,0.597,0.143,0.260
1996,0.586,0.214,0.200
1997,0.493,0.200,0.307
1998,0.591,0.227,0.182
1999,0.768,0.123,0.109
2000,0.711,0.125,0.164
2001,0.706,0.094,0.200
2002,0.608,0.189,0.203
2003,0.778,0.083,0.139
2004,0.692,0.144,0.163
2005,0.597,0.210,0.193
2006,0.658,0.167,0.175
2007,0.573,0.173,0.255
2008,0.544,0.165,0.291
2009,0.623,0.198,0.179
2010,0.567,0.192,0.240
2011,0.613,0.204,0.183
2012,0.614,0.193,0.193
