year,new_fraction,chaperoned_fraction,established_fraction
1990,0.500,0.186,0.314
1991,0.442,0.162,0.396
1992,0.406,0.165,0.429
1993,0.489,0.178,0.333
1994,0.400,0.144,0.456
1995,0.391,0.184,0.425
1996,0.369,0.131,0.500
1997,0.390,0.128,0.482
1998,0.367,0.139,0.494
1999,0.394,0.229,0.377
2000,0.314,0.190,0.497
2001,0.298,0.167,0.535
2002,0.427,0.188,0.385
2003,0.486,0.207,0.307
2004,0.409,0.189,0.402
2005,0.387,0.160,0.453
2006,0.384,0.162,0.455
2007,0.415,0.217,0.368
2008,0.253,0.222,0.525
2009,0.464,0.209,0.327
2010,0.333,0.298,0.368
2011,0.373,0.182,0.445
2012,0.377,0.217,0.406
