year,new_fraction,chaperoned_fraction,established_fraction
1990,0.604,0.125,0.271
1991,0.522,0.114,0.363
1992,0.250,0.188,0.562
1993,0.258,0.191,0.551
1994,0.370,0.164,0.466
1995,0.377,0.117,0.506
1996,0.369,0.119,0.512
1997,0.389,0.159,0.451
1998,0.387,0.095,0.518
1999,0.392,0.152,0.456
2000,0.381,0.159,0.460
2001,0.434,0.123,0.443
2002,0.312,0.073,0.615
2003,0.379,0.112,0.509
2004,0.351,0.107,0.542
2005,0.325,0.140,0.535
2006,0.389,0.114,0.497
2007,0.363,0.125,0.512
2008,0.378,0.104,0.518
2009,0.389,0.114,0.497
2010,0.323,0.140,0.538
2011,0.296,0.102,0.602
2012,0.302,0.115,0.583
