year,new_fraction,chaperoned_fraction,established_fraction
1990,0.412,0.283,0.305
1991,0.429,0.254,0.317
1992,0.481,0.233,0.286
1993,0.431,0.269,0.299
1994,0.477,0.261,0.261
1995,0.437,0.258,0.305
1996,0.345,0.252,0.403
1997,0.471,0.208,0.321
1998,0.375,0.236,0.389
1999,0.336,0.233,0.432
2000,0.313,0.246,0.440
2001,0.310,0.241,0.448
2002,0.312,0.245,0.443
2003,0.307,0.258,0.435
2004,0.310,0.237,0.453
2005,0.291,0.257,0.451
2006,0.204,0.250,0.546
2007,0.226,0.270,0.504
2008,0.221,0.245,0.534
2009,0.184,0.254,0.562
2010,0.193,0.223,0.584
2011,0.159,0.229,0.612
2012,0.169,0.220,0.611
