year,new_fraction,chaperoned_fraction,established_fraction
1990,0.616,0.133,0.251
1991,0.548,0.126,0.327
1992,0.524,0.167,0.310
1993,0.495,0.134,0.371
1994,0.551,0.136,0.313
1995,0.471,0.165,0.364
1996,0.460,0.182,0.358
1997,0.399,0.182,0.419
1998,0.434,0.210,0.356
1999,0.438,0.192,0.371
2000,0.423,0.193,0.384
2001,0.428,0.183,0.389
2002,0.444,0.184,0.372
2003,0.354,0.160,0.486
2004,0.352,0.184,0.464
2005,0.291,0.225,0.484
2006,0.351,0.190,0.459
2007,0.322,0.200,0.478
2008,0.343,0.230,0.427
2009,0.320,0.172,0.508
2010,0.357,0.186,0.456
2011,0.306,0.188,0.505
2012,0.270,0.228,0.502
