year,new_fraction,chaperoned_fraction,established_fraction
1990,0.244,0.148,0.608
1991,0.243,0.128,0.629
1992,0.166,0.159,0.674
1993,0.194,0.168,0.638
1994,0.240,0.159,0.601
1995,0.238,0.134,0.627
1996,0.227,0.161,0.611
1997,0.238,0.168,0.594
1998,0.259,0.188,0.553
1999,0.274,0.151,0.575
2000,0.295,0.161,0.545
2001,0.231,0.194,0.575
2002,0.269,0.164,0.567
2003,0.238,0.181,0.582
2004,0.250,0.174,0.576
2005,0.241,0.144,0.615
2006,0.257,0.186,0.557
2007,0.294,0.149,0.557
2008,0.308,0.193,0.498
2009,0.325,0.169,0.506
2010,0.297,0.195,0.508
2011,0.295,0.148,0.557
2012,0.216,0.216,0.569
