year,new_fraction,chaperoned_fraction,established_fraction
1990,0.492,0.149,0.359
1991,0.549,0.122,0.329
1992,0.455,0.173,0.373
1993,0.451,0.133,0.416
1994,0.438,0.152,0.411
1995,0.429,0.155,0.416
1996,0.417,0.185,0.398
1997,0.464,0.168,0.368
1998,0.376,0.172,0.452
1999,0.345,0.154,0.501
2000,0.335,0.167,0.498
2001,0.331,0.164,0.504
2002,0.373,0.159,0.468
2003,0.324,0.137,0.538
2004,0.349,0.180,0.471
2005,0.303,0.217,0.479
2006,0.288,0.188,0.524
2007,0.286,0.176,0.538
2008,0.251,0.210,0.539
2009,0.282,0.177,0.541
2010,0.232,0.211,0.558
2011,0.255,0.221,0.524
2012,0.235,0.198,0.567
