year,new_fraction,chaperoned_fraction,established_fraction
1990,0.326,0.219,0.455
1991,0.354,0.186,0.460
1992,0.287,0.172,0.541
1993,0.276,0.188,0.536
1994,0.199,0.218,0.583
1995,0.194,0.189,0.618
1996,0.283,0.186,0.531
1997,0.259,0.174,0.568
1998,0.242,0.185,0.574
1999,0.280,0.159,0.562
2000,0.203,0.183,0.613
2001,0.230,0.187,0.583
2002,0.203,0.196,0.601
2003,0.222,0.163,0.616
2004,0.203,0.167,0.631
2005,0.198,0.189,0.613
2006,0.179,0.183,0.638
2007,0.208,0.190,0.602
2008,0.248,0.156,0.596
2009,0.185,0.213,0.602
2010,0.175,0.230,0.596
2011,0.191,0.211,0.598
2012,0.225,0.228,0.547
