year,new_fraction,chaperoned_fraction,established_fraction
1990,0.512,0.155,0.333
1991,0.600,0.087,0.312
1992,0.517,0.190,0.293
1993,0.505,0.143,0.352
1994,0.494,0.127,0.380
1995,0.618,0.137,0.245
1996,0.630,0.148,0.222
1997,0.475,0.139,0.385
1998,0.538,0.154,0.308
1999,0.443,0.142,0.415
2000,0.438,0.181,0.381
2001,0.359,0.160,0.481
2002,0.520,0.181,0.299
2003,0.470,0.188,0.342
2004,0.469,0.140,0.392
2005,0.478,0.172,0.350
2006,0.441,0.149,0.411
2007,0.443,0.188,0.369
2008,0.420,0.172,0.408
2009,0.386,0.173,0.441
2010,0.389,0.218,0.393
2011,0.347,0.196,0.456
2012,0.314,0.188,0.498
