year,new_fraction,chaperoned_fraction,established_fraction
1990,0.161,0.151,0.689
1991,0.156,0.176,0.669
1992,0.160,0.148,0.692
1993,0.181,0.134,0.685
1994,0.167,0.145,0.688
1995,0.179,0.137,0.684
1996,0.178,0.142,0.680
1997,0.156,0.163,0.681
1998,0.174,0.174,0.651
1999,0.157,0.162,0.681
2000,0.165,0.177,0.658
2001,0.166,0.161,0.674
2002,0.152,0.177,0.671
2003,0.156,0.176,0.668
2004,0.183,0.188,0.629
2005,0.207,0.190,0.603
2006,0.185,0.184,0.631
2007,0.181,0.196,0.623
2008,0.215,0.179,0.606
2009,0.163,0.166,0.671
2010,0.186,0.167,0.646
2011,0.186,0.174,0.640
2012,0.172,0.182,0.646
