year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,1.000,0.000,0.000
1992,0.754,0.092,0.154
1993,0.716,0.148,0.136
1994,0.704,0.136,0.160
1995,0.602,0.088,0.310
1996,0.514,0.239,0.246
1997,0.597,0.157,0.246
1998,0.584,0.128,0.288
1999,0.540,0.207,0.253
2000,0.452,0.185,0.363
2001,0.492,0.215,0.292
2002,0.528,0.134,0.338
2003,0.455,0.188,0.357
2004,0.455,0.196,0.348
2005,0.319,0.217,0.464
2006,0.306,0.204,0.491
2007,0.402,0.214,0.385
2008,0.333,0.246,0.421
2009,0.417,0.160,0.424
2010,0.384,0.185,0.432
2011,0.397,0.190,0.413
2012,0.457,0.116,0.428
