year,new_fraction,chaperoned_fraction,established_fraction
1990,0.638,0.188,0.174
1991,0.683,0.087,0.231
1992,0.763,0.103,0.135
1993,0.624,0.149,0.228
1994,0.647,0.121,0.233
1995,0.631,0.214,0.155
1996,0.704,0.130,0.167
1997,0.667,0.111,0.222
1998,0.706,0.143,0.151
1999,0.691,0.103,0.206
2000,0.709,0.093,0.198
2001,0.636,0.188,0.176
2002,,,
2003,0.635,0.157,0.208
2004,0.653,0.163,0.184
2005,0.672,0.133,0.195
2006,0.585,0.226,0.189
2007,0.543,0.152,0.305
2008,0.537,0.242,0.221
2009,0.545,0.208,0.247
2010,0.454,0.309,0.237
2011,0.448,0.240,0.312
2012,0.494,0.315,0.191
