year,new_fraction,chaperoned_fraction,established_fraction
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,0.877,0.009,0.113
1996,0.760,0.084,0.156
1997,0.607,0.121,0.272
1998,0.595,0.118,0.287
1999,0.501,0.160,0.339
2000,0.507,0.121,0.372
2001,0.454,0.149,0.397
2002,0.352,0.189,0.459
2003,0.317,0.160,0.523
2004,0.314,0.176,0.510
2005,0.352,0.186,0.462
2006,0.275,0.199,0.526
2007,0.211,0.197,0.592
2008,0.270,0.197,0.534
2009,0.308,0.184,0.508
2010,0.280,0.269,0.451
2011,0.268,0.228,0.503
2012,0.302,0.262,0.436
