year,new_fraction,chaperoned_fraction,established_fraction
1990,0.318,0.164,0.518
1991,0.288,0.167,0.545
1992,0.271,0.213,0.517
1993,0.263,0.128,0.610
1994,0.271,0.162,0.568
1995,0.251,0.152,0.597
1996,0.304,0.172,0.525
1997,0.288,0.180,0.532
1998,0.309,0.175,0.516
1999,0.288,0.148,0.563
2000,0.289,0.174,0.537
2001,0.327,0.175,0.498
2002,0.290,0.172,0.538
2003,0.267,0.156,0.577
2004,0.258,0.170,0.572
2005,0.312,0.140,0.548
2006,0.259,0.207,0.533
2007,0.279,0.196,0.525
2008,0.338,0.167,0.495
2009,0.291,0.186,0.523
2010,0.264,0.176,0.560
2011,0.253,0.186,0.561
2012,0.217,0.186,0.597
