year,new_fraction,chaperoned_fraction,established_fraction
1990,0.357,0.185,0.458
1991,0.374,0.160,0.466
1992,0.343,0.210,0.448
1993,0.290,0.158,0.552
1994,0.368,0.161,0.471
1995,0.271,0.157,0.572
1996,0.367,0.162,0.471
1997,0.362,0.192,0.446
1998,0.331,0.193,0.476
1999,0.352,0.160,0.488
2000,0.322,0.196,0.482
2001,0.313,0.183,0.504
2002,0.316,0.168,0.516
2003,0.315,0.204,0.481
2004,0.316,0.196,0.488
2005,0.271,0.199,0.531
2006,0.274,0.182,0.543
2007,0.240,0.196,0.565
2008,0.283,0.194,0.523
2009,0.214,0.175,0.611
2010,0.203,0.168,0.628
2011,0.233,0.183,0.584
2012,0.188,0.177,0.635
