year,new_fraction,chaperoned_fraction,established_fraction
1990,0.390,0.115,0.495
1991,0.457,0.152,0.390
1992,0.310,0.147,0.543
1993,0.348,0.142,0.509
1994,0.313,0.152,0.534
1995,0.277,0.184,0.540
1996,0.271,0.194,0.535
1997,0.270,0.158,0.572
1998,0.264,0.153,0.584
1999,0.222,0.159,0.618
2000,0.246,0.132,0.621
2001,0.238,0.154,0.608
2002,0.235,0.161,0.604
2003,0.236,0.200,0.564
2004,0.205,0.157,0.639
2005,0.239,0.179,0.582
2006,0.283,0.184,0.533
2007,0.238,0.157,0.605
2008,0.235,0.191,0.574
2009,0.238,0.168,0.594
2010,0.246,0.192,0.562
2011,0.238,0.171,0.591
2012,0.230,0.186,0.584
