year,new_fraction,chaperoned_fraction,established_fraction
1990,0.340,0.128,0.532
1991,0.245,0.199,0.556
1992,0.254,0.201,0.545
1993,0.307,0.167,0.526
1994,0.300,0.156,0.544
1995,0.256,0.157,0.587
1996,0.266,0.195,0.539
1997,0.188,0.153,0.659
1998,0.211,0.151,0.638
1999,0.205,0.146,0.649
2000,0.210,0.177,0.613
2001,0.168,0.182,0.649
2002,0.217,0.169,0.614
2003,0.183,0.173,0.643
2004,0.260,0.165,0.576
2005,0.204,0.153,0.642
2006,0.211,0.185,0.604
2007,0.196,0.170,0.634
2008,0.198,0.218,0.585
2009,0.185,0.167,0.648
2010,0.171,0.174,0.655
2011,0.151,0.178,0.672
2012,0.178,0.167,0.655
