year,new_fraction,chaperoned_fraction,established_fraction
1990,0.259,0.179,0.562
1991,0.216,0.137,0.647
1992,0.227,0.155,0.618
1993,0.310,0.097,0.593
1994,0.256,0.218,0.526
1995,0.384,0.082,0.534
1996,0.323,0.177,0.500
1997,0.270,0.178,0.553
1998,0.314,0.178,0.508
1999,0.288,0.167,0.545
2000,0.352,0.117,0.531
2001,0.347,0.169,0.484
2002,0.361,0.139,0.500
2003,0.343,0.102,0.556
2004,0.423,0.173,0.404
2005,0.341,0.206,0.452
2006,0.340,0.189,0.472
2007,0.402,0.152,0.446
2008,0.229,0.157,0.614
2009,0.338,0.147,0.515
2010,0.406,0.058,0.536
2011,0.329,0.164,0.507
2012,0.371,0.157,0.472
